Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,422.03999999999996,5064.48,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (256 GB), Instance type (r6g.2xlarge)"
My Estimate,US West (Los Angeles),Amazon EC2,0,617.7,7412.40,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (256 GB), Instance type (r5.2xlarge)"
My Estimate,US East (N. Virginia),S3 Standard,0,1402.88,16834.56,USD,S3 Standard storage (60 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,Data Transfer
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,4704.85,56458.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,250.02,3000.24,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,4132.5,49590.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (250 TB per month)"
My Estimate,US East (N. Virginia),AWS Lambda,0,45,540.00,USD,"Number of requests (1000), Concurrency (1000), Time for which Provisioned Concurrency is enabled (3 hours), Number of requests for Provisioned Concurrency (1000)"
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,3327.32,39927.84,USD,"Change records per statement (0.38), (1 instances)  db.r5.12xlarge  Memory optimized  Reserved Instances  1yr  No Upfront, Storage amount (50 MB), Additional backup storage (20 GB), Number of I/Os per month in millions (1000)"
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,15,180.00,USD,"Number of EC2 instances (4), Number of EIPs per instance (2), Number of EIP remaps (2)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,4793.5,57522.00,USD,"Hosted Zones (4), Basic Checks Within AWS (200), Number of Elastic Network Interfaces (10)"

"I Increased the Application and Classic Load Balancer, Routing and the Storage, by assuming more data and traffic for my social media "

"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
