Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,422.03999999999996,5064.48,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (256 GB), Instance type (r6g.2xlarge)"
My Estimate,US West (Los Angeles),Amazon EC2,0,617.7,7412.40,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (256 GB), Instance type (r5.2xlarge)"
My Estimate,US East (Ohio),S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (Ohio),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1979.52,23754.24,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,250.02,3000.24,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1674.9,20098.80,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (100 TB per month)"
My Estimate,US East (N. Virginia),AWS Lambda,0,45,540.00,USD,"Number of requests (1000), Concurrency (1000), Time for which Provisioned Concurrency is enabled (3 hours), Number of requests for Provisioned Concurrency (1000)"
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,1122.72,13472.64,USD,"Change records per statement (0.38), (1 instances)  db.r5.4xlarge  Memory optimized  Reserved Instances  1yr  No Upfront, Storage amount (20 MB), Additional backup storage (20 GB), Number of I/Os per month in millions (100)"
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,15,180.00,USD,"Number of EC2 instances (4), Number of EIPs per instance (2), Number of EIP remaps (2)"
My Estimate,US East (N. Virginia),Amazon Route 53,0,2597,31164.00,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
